file,k,status,tau_mean,tau_var,eta_mean,eta_var
large_50vars_250clauses_013.cnf,7,success,4.647619047619048,0.8377324263038549,6.4767989417989416,7.617245000139972
large_50vars_250clauses_007.cnf,7,success,5.238095238095238,1.0956916099773244,3.8877919501133786,11.050683642224369
large_100vars_500clauses_021.cnf,7,success,7.0,0.0,0.14285714285714282,7.703719777548943e-34
large_100vars_500clauses_009.cnf,7,success,7.0,0.0,0.5714285714285713,1.232595164407831e-32
large_100vars_500clauses_023.cnf,7,success,5.79047619047619,0.9656235827664399,9.1165518707483,16.370625422115065
large_50vars_250clauses_003.cnf,7,success,5.9714285714285715,0.656326530612245,4.486641628873772,3.8787012049214655
large_50vars_250clauses_017.cnf,7,success,6.085714285714285,0.8783673469387754,4.823771258503402,4.674244908867625
large_100vars_500clauses_022.cnf,7,success,5.942857142857143,0.739591836734694,5.149101001511716,30.986869147125116
large_50vars_250clauses_002.cnf,7,success,4.571428571428571,1.1591836734693879,4.871322751322752,6.747258082780438
large_50vars_250clauses_016.cnf,7,success,6.4,0.64,5.561459750566893,1.5274874540363197
large_50vars_250clauses_001.cnf,7,success,7.0,0.0,0.28571428571428564,3.0814879110195774e-33
large_50vars_250clauses_014.cnf,7,success,5.6761904761904765,0.6760997732426303,5.439665532879819,3.2600286165807972
large_50vars_250clauses_000.cnf,7,success,5.6571428571428575,1.2538775510204083,4.962419690098261,4.0173694933343596
large_100vars_500clauses_019.cnf,7,success,7.0,0.0,0.14285714285714282,7.703719777548943e-34
large_50vars_250clauses_015.cnf,7,success,7.0,0.0,0.238095238095238,0.011337868480725623
large_50vars_250clauses_018.cnf,7,success,5.057142857142857,0.5110204081632653,4.972007275132275,5.764102264938255
large_50vars_250clauses_024.cnf,7,success,6.133333333333334,0.8203174603174602,3.6751733749055173,5.106869345998443
large_50vars_250clauses_019.cnf,7,success,6.0285714285714285,1.056326530612245,4.849965513983371,3.819095453990141
large_100vars_500clauses_015.cnf,7,success,7.0,0.0,0.14285714285714282,7.703719777548943e-34
large_100vars_500clauses_024.cnf,7,success,7.0,0.0,0.5714285714285713,1.232595164407831e-32
large_100vars_500clauses_018.cnf,7,success,7.0,0.0,0.8571428571428568,1.1093356479670479e-31
large_100vars_500clauses_001.cnf,7,success,6.857142857142857,0.12244897959183675,8.586635487528344,6.821696164848687
large_100vars_500clauses_000.cnf,7,success,7.0,0.0,0.4285714285714284,2.7733391199176196e-32
large_100vars_500clauses_014.cnf,7,success,7.0,0.0,0.28571428571428564,3.0814879110195774e-33
large_100vars_500clauses_002.cnf,7,success,6.0,1.2,0.6438945578231292,0.08290557307011996
large_50vars_250clauses_022.cnf,7,success,5.714285714285714,1.0612244897959182,4.869417044595616,3.50906151993336
large_100vars_500clauses_016.cnf,7,success,7.0,0.0,0.0,0.0
large_50vars_250clauses_023.cnf,7,success,4.266666666666667,1.1860317460317462,6.923399470899471,12.92944761467344
large_100vars_500clauses_007.cnf,7,success,7.0,0.0,0.28571428571428564,3.0814879110195774e-33
large_100vars_500clauses_013.cnf,7,success,6.4,0.6399999999999999,1.084131708238851,0.40250666472471036
large_100vars_500clauses_003.cnf,7,success,7.0,0.0,2.0,0.0
large_100vars_500clauses_017.cnf,7,success,6.0,1.2,9.366649659863945,17.105016864790134
large_100vars_500clauses_012.cnf,7,success,7.0,0.0,0.14285714285714282,7.703719777548943e-34
large_100vars_500clauses_006.cnf,7,success,7.0,0.0,0.0,0.0
large_100vars_500clauses_010.cnf,7,success,5.761904761904762,1.0956916099773242,1.920014172335601,12.569866068528224
large_50vars_250clauses_021.cnf,7,success,5.123809523809523,1.36562358276644,5.878918178382464,6.766399314670806
large_50vars_250clauses_008.cnf,7,success,7.0,0.0,0.24523809523809514,0.008905895691609978
large_50vars_250clauses_009.cnf,7,success,4.8,0.9600000000000001,7.32328373015873,5.876471370996315
large_100vars_500clauses_004.cnf,7,success,6.4,0.6399999999999999,1.0091543839758126,0.15943805864408206
large_50vars_250clauses_020.cnf,7,success,5.780952380952381,0.5139229024943311,4.559587585034014,3.984608219711614
large_100vars_500clauses_005.cnf,7,success,7.0,0.0,0.5714285714285713,1.232595164407831e-32
large_75vars_375clauses_009.cnf,7,success,5.466666666666667,0.9917460317460318,3.4402447089947095,15.322007237295637
large_100vars_500clauses_011.cnf,7,success,7.0,0.0,1.1428571428571426,4.930380657631324e-32
large_75vars_375clauses_021.cnf,7,success,7.0,0.0,1.2380952380952381,0.00907029478458051
large_75vars_375clauses_020.cnf,7,success,6.476190476190476,0.43990929705215404,6.506312358276643,4.979404342125645
large_75vars_375clauses_008.cnf,7,success,6.333333333333333,0.4126984126984127,6.898141534391534,4.489100993969384
large_75vars_375clauses_023.cnf,7,success,7.0,0.0,1.6261904761904762,0.004824263038548748
large_75vars_375clauses_024.cnf,7,success,7.0,0.0,0.5714285714285713,1.232595164407831e-32
large_75vars_375clauses_022.cnf,7,success,6.0,1.2,6.498906840513984,11.900361556055142
large_75vars_375clauses_018.cnf,7,success,6.285714285714286,0.4897959183673469,7.0594472789115645,5.020978830121901
large_75vars_375clauses_019.cnf,7,success,7.0,0.0,1.3333333333333335,0.004535147392290244
