alpha,seed,v_orbit,tau_var,eta_var
4.0,48,0.0,0.0,0.0
4.0,49,0.0,0.0,0.0
4.05,1,0.0,0.0,0.0
4.05,0,0.0,0.0,0.006172839506172829
4.05,2,0.0,0.0,0.0
4.05,3,0.0,0.0,0.006172839506172836
4.05,5,0.0,0.0,0.0
4.05,4,0.09016362306003883,0.37333333333333335,3.41590109739369
4.05,6,0.0,0.0,0.0
4.05,7,0.019729766848949948,0.7875,0.09661111111111112
4.05,9,0.0,0.0,0.0
4.05,8,0.0,0.0,0.0
4.05,12,0.0,0.0,4.930380657631324e-32
4.05,11,0.0,0.0,0.0
4.05,10,0.0,0.0,0.006172839506172829
4.05,13,0.0,0.0,0.0
4.05,14,0.0,0.0,0.0
4.05,15,0.0,0.0,0.0
4.05,16,0.0,0.0,0.0
4.05,17,0.0,0.0,0.00617283950617284
4.05,18,0.0,0.0,0.0
4.05,19,0.0,0.0,0.0
4.05,20,0.0,0.13888888888888887,0.13888888888888887
4.05,21,0.0,0.0,0.0
4.05,22,0.0,0.0,0.00617283950617284
4.05,23,0.0,0.0,0.0
4.05,24,0.0,0.0,0.0
4.05,25,0.0,0.0,0.0
4.05,27,0.0,0.0,0.0
4.05,26,0.0,0.0,0.0
4.05,28,0.0,0.0,0.0
4.05,29,0.0,0.0,0.0
4.05,31,0.0,0.0,0.0
4.05,30,0.0,0.0,0.0
4.05,32,0.0,0.0,0.0
4.05,33,0.0,0.0,0.0
4.05,34,0.0,0.0,0.00617283950617284
4.05,35,0.0,0.0,0.0
4.05,36,0.0,0.0,0.0
4.05,37,0.0,0.0,0.0
4.05,38,0.0,0.0,0.00617283950617284
4.05,39,0.0,0.0,0.0
4.05,40,0.0,0.0,0.0
4.05,41,0.0,0.0,0.0
4.05,42,0.16206136246254552,0.7875,0.2446363082990398
4.05,43,0.0,0.0,0.0
4.05,44,0.0,0.0,0.0
4.05,45,0.0,0.0,0.0
4.05,46,0.0,0.0,0.006172839506172844
4.05,47,0.0,0.0,0.0
4.05,48,0.0048367594460704015,0.7875,0.006892283950617285
4.05,49,0.0,0.0,0.0
4.1,0,0.0,0.0,0.006172839506172829
4.1,1,0.0,0.0,0.0
4.1,2,0.0,0.0,0.0
