mu,seed,gamma,v_orbit,tau_var,eta_var
0.1,12,0.1087168523328709,13.506315104166667,0.5163888888888889,12.989926215277778
0.1,13,0.17794842754710688,8.206619888117283,0.3475,7.859119888117283
0.1,14,0.129848518478189,10.567706404320989,0.40305555555555556,10.164650848765433
0.1,15,0.11283355360818217,6.428848379629629,0.40305555555555556,6.025792824074074
0.1,16,0.14005419140220637,9.024091647376542,0.7830555555555555,8.241036091820986
0.1,17,0.14639771895500717,7.405941358024691,0.5655555555555556,6.840385802469135
0.1,18,0.09975726032741039,6.713537326388889,0.4,6.3135373263888885
0.1,19,0.1054377973129062,14.799554610339502,0.7833333333333333,14.016221277006169
0.1,20,0.11986902626055117,9.256018518518518,0.30305555555555563,8.952962962962962
0.1,21,0.09575657823250174,14.228973765432098,0.7830555555555555,13.445918209876542
0.1,22,0.1104253113611872,6.047197145061729,0.32888888888888884,5.71830825617284
0.1,23,0.1272246030705441,15.471189120370374,0.9697222222222219,14.501466898148152
0.1,24,0.10233662689592876,6.411407696759259,0.4475,5.963907696759259
0.1,26,0.0988189639260293,6.758564332561729,0.45,6.308564332561729
0.1,25,0.11331327044759482,5.700617283950617,0.24888888888888897,5.451728395061728
0.1,27,0.13051896039037975,2.9951774691358026,0.24000000000000002,2.7551774691358024
0.1,28,0.09894011267075853,10.345771527777776,0.9955555555555556,9.350215972222221
0.1,29,0.10985151963705796,17.894694733796292,0.44972222222222225,17.444972511574072
0.15000000000000002,0,0.14614682918060756,10.807654320987654,0.24888888888888897,10.558765432098765
0.15000000000000002,1,0.17250408367306297,17.62987654320988,0.40305555555555556,17.22682098765432
0.15000000000000002,2,0.1737546642292456,5.836830536265432,0.7141666666666666,5.122663869598766
0.15000000000000002,3,0.1835305137529144,35.0373722029321,0.41,34.6273722029321
0.15000000000000002,4,0.15213336657652884,9.093871527777777,0.40305555555555556,8.690815972222222
0.15000000000000002,6,0.15989540252112872,11.344374517746916,0.5599999999999999,10.784374517746915
0.15000000000000002,5,0.19965180628900725,15.69033950617284,0.24000000000000002,15.45033950617284
0.15000000000000002,7,0.2005601151640311,9.678626543209877,0.32749999999999996,9.351126543209876
0.15000000000000002,8,0.19153064294722616,3.3340046296296295,0.21,3.1240046296296295
0.15000000000000002,9,0.15620930087272406,9.085994888117284,0.28305555555555556,8.802939332561728
0.15000000000000002,10,0.12737183643502437,12.154781172839506,1.0608333333333333,11.093947839506173
0.15000000000000002,11,0.18188329795173697,8.361701851851851,0.36555555555555563,7.9961462962962955
0.15000000000000002,12,0.1628215235472657,10.384195293209878,0.7566666666666666,9.627528626543212
0.15000000000000002,13,0.23955667885776422,2.6215272955246913,0.32888888888888884,2.2926384066358025
0.15000000000000002,14,0.1832904502104944,10.89371913580247,0.4875,10.40621913580247
0.15000000000000002,16,0.17655548605330162,15.610209182098764,0.7830555555555555,14.827153626543208
0.15000000000000002,15,0.1614963077141785,13.094876543209876,0.4,12.694876543209876
0.15000000000000002,17,0.188269920132977,7.117522202932099,0.6222222222222222,6.495299980709876
0.15000000000000002,18,0.1595534147124418,4.826496739969136,0.6363888888888889,4.190107851080247
0.15000000000000002,19,0.1706030769953501,9.441703221450618,0.7833333333333333,8.658369888117285
0.15000000000000002,20,0.15376376934830083,9.24031635802469,0.30305555555555563,8.937260802469135
0.15000000000000002,21,0.14042829013063574,15.475594135802476,0.5599999999999999,14.915594135802476
0.15000000000000002,22,0.17694136391328036,11.472810165895062,0.5788888888888888,10.893921277006173
0.15000000000000002,23,0.19438613089892265,19.0041,0.9697222222222222,18.034377777777777
0.15000000000000002,24,0.1649261628028249,8.344663869598765,0.4475,7.8971638695987645
0.15000000000000002,25,0.19799530634449608,7.424074074074074,0.24888888888888897,7.175185185185185
0.15000000000000002,26,0.16515832713701997,8.413773148148149,0.378888888888889,8.03488425925926
0.15000000000000002,27,0.19620473924526613,7.318580246913581,0.3275,6.991080246913581
0.15000000000000002,28,0.17198277969488268,6.440555478395062,0.8888888888888888,5.551666589506173
0.15000000000000002,29,0.1818951256874677,14.202862654320992,0.5155555555555557,13.687307098765435
0.2,0,0.19693704413858937,12.57932098765432,0.24888888888888897,12.330432098765431
0.2,1,0.23680624296804387,21.10200183256173,0.5599999999999999,20.54200183256173
0.2,3,0.2346180583023066,18.41282986111111,0.34305555555555556,18.069774305555555
0.2,2,0.20631635253595088,11.920742881944447,0.7141666666666666,11.20657621527778
0.2,4,0.22526835072121454,12.919708256172841,0.9030555555555556,12.016652700617286
0.2,5,0.27812359745832566,10.90098765432099,0.24000000000000005,10.660987654320989
0.2,6,0.2142012912361636,6.158606770833334,0.4030555555555556,5.755551215277778
0.2,7,0.23590759790012683,9.736404320987656,0.32749999999999996,9.408904320987656
0.2,8,0.2253916511648486,5.196231404320987,0.3822222222222223,4.814009182098765
0.2,9,0.20174808505844405,12.22384241898148,0.6222222222222223,11.601620196759258
0.2,10,0.16831406503220744,11.711430381944446,1.0608333333333333,10.650597048611113
0.2,11,0.2190994943209491,8.387291666666666,0.22749999999999998,8.159791666666667
0.2,12,0.2102604940042521,12.173038194444445,0.4030555555555556,11.769982638888889
0.2,13,0.29362662919871363,2.458249691358025,0.6455555555555555,1.8126941358024693
0.2,14,0.23618750251421394,14.277978395061732,0.4875,13.790478395061731
0.2,15,0.18675654615746579,9.206328221450619,0.8322222222222223,8.374105999228396
0.2,16,0.2123288450248969,16.38324056712963,0.7941666666666666,15.589073900462962
0.2,17,0.21889654265883673,4.8395517746913574,0.5599999999999999,4.279551774691358
0.2,18,0.2171364990170912,12.091075906635803,0.2488888888888889,11.842187017746914
0.2,19,0.23260520710276977,11.858899691358024,0.6455555555555555,11.213344135802469
0.2,20,0.23060947737777948,10.388794367283952,0.48999999999999994,9.898794367283951
0.2,21,0.22685386502970178,7.001178703703704,0.5066666666666667,6.494512037037037
0.2,22,0.2273579211245027,11.788460165895064,0.36972222222222223,11.418737943672841
0.2,23,0.2272808542100922,19.0041,0.9697222222222222,18.034377777777777
0.2,24,0.21478136952460783,8.21496913580247,0.5275,7.68746913580247
0.2,25,0.24530226286090506,7.124473379629629,0.28305555555555556,6.841417824074074
0.2,26,0.20768985699258136,7.506983024691359,0.30305555555555563,7.203927469135803
0.2,27,0.24860004048825696,5.406595293209877,0.2697222222222223,5.136873070987654
0.2,28,0.23460085576929268,6.475132407407408,0.8888888888888888,5.586243518518518
0.25,0,0.25557782654626754,7.487407407407407,0.3497222222222222,7.137685185185185
0.2,29,0.250932601297493,15.90054598765432,0.7030555555555554,15.197490432098764
0.25,1,0.29700749260386067,12.376311728395063,0.41,11.966311728395063
0.25,2,0.2572652823434345,11.79891896219136,0.5955555555555555,11.203363406635804
0.25,3,0.288605694696218,25.028107638888887,0.3430555555555556,24.685052083333332
0.25,4,0.2629916928656544,12.990455246913582,0.4830555555555555,12.507399691358026
0.25,5,0.31535761407303037,11.59795524691358,0.24000000000000002,11.35795524691358
0.25,6,0.27626952813394035,11.939189332561728,0.46222222222222215,11.476967110339507
0.25,7,0.2653270420499366,2.1677835648148145,0.4475,1.7202835648148147
0.25,8,0.2965315814616056,8.189079552469135,0.38305555555555565,7.80602399691358
0.25,10,0.2359134403442798,16.805490432098768,0.8941666666666666,15.911323765432101
0.25,9,0.2601319381008957,26.046682407407403,1.0163888888888888,25.030293518518516
0.25,11,0.26896686346094745,11.294152083333335,0.378888888888889,10.915263194444446
0.25,12,0.2541955349111594,10.740462962962964,0.19555555555555557,10.544907407407408
0.25,13,0.34799664991802465,14.801141589506173,0.7497222222222222,14.051419367283952
0.25,14,0.289664282306369,13.474582851080246,0.33888888888888885,13.135693962191358
0.25,15,0.22594603528530777,16.34464652777778,0.8322222222222223,15.512424305555557
0.25,16,0.283756890212148,16.47899257330247,0.516388888888889,15.962603684413581
0.25,17,0.28038003361930464,3.880781462191358,0.48999999999999994,3.390781462191358
0.25,18,0.2603441120428356,10.891296296296298,0.24888888888888888,10.64240740740741
0.25,19,0.2815766426925975,22.797376543209875,0.46222222222222215,22.33515432098765
0.25,20,0.2681151612176594,6.868060108024692,0.6363888888888889,6.231671219135803
0.25,21,0.31846204883196966,13.006967592592593,0.24000000000000002,12.766967592592593
0.25,22,0.26996792732994174,12.80420524691358,0.48999999999999994,12.31420524691358
0.25,23,0.2624568661572682,12.491204552469137,0.648888888888889,11.842315663580248
0.25,24,0.25596648206943834,13.442962480709875,0.5655555555555556,12.87740692515432
0.25,25,0.2784752824550579,7.340993441358025,0.28305555555555556,7.0579378858024695
0.25,26,0.26044482579188283,11.212644675925924,0.40305555555555556,10.809589120370369
0.25,27,0.31207095778760624,8.662885802469138,0.26972222222222225,8.393163580246915
0.25,28,0.30721185908930787,26.071313580246912,0.7733333333333335,25.29798024691358
0.30000000000000004,0,0.3030918150466683,7.310895061728394,0.5599999999999999,6.750895061728395
0.25,29,0.3017440421501293,10.998770659722222,0.6722222222222223,10.3265484375
0.30000000000000004,1,0.34561643594225355,18.714575617283952,0.32888888888888884,18.38568672839506
0.30000000000000004,2,0.31560042530863935,18.704119135802465,1.676388888888889,17.027730246913578
0.30000000000000004,3,0.32984386150505,28.969928626543204,0.34305555555555556,28.62687307098765
0.30000000000000004,4,0.3211918209971037,15.38394097222222,0.5655555555555556,14.818385416666665
0.30000000000000004,5,0.3604963811139833,9.316765046296297,0.3430555555555556,8.973709490740742
0.30000000000000004,7,0.32634416651627246,8.545854552469136,0.3275,8.218354552469135
0.30000000000000004,6,0.3061097738521821,7.811757330246913,0.5155555555555557,7.296201774691358
0.30000000000000004,8,0.34103489092517236,6.610481172839506,0.5875,6.022981172839506
0.30000000000000004,9,0.29889298856153934,25.161191358024695,1.0163888888888888,24.144802469135808
0.30000000000000004,10,0.2776283275021354,18.743549305555558,0.8763888888888889,17.867160416666668
0.30000000000000004,12,0.3102325609832802,6.533950617283951,0.19555555555555557,6.338395061728395
0.30000000000000004,11,0.32900275566892556,9.51788331404321,0.3830555555555555,9.134827758487654
0.30000000000000004,13,0.3936910815810403,15.581416358024693,0.378888888888889,15.202527469135804
0.30000000000000004,14,0.32590389607402126,10.040693962191359,0.2275,9.81319396219136
0.30000000000000004,15,0.28898714586319385,8.618209182098765,0.5141666666666668,8.104042515432099
0.30000000000000004,16,0.3455098770050902,21.769328703703703,0.5155555555555557,21.25377314814815
0.30000000000000004,17,0.3272119685554029,16.458122222222222,0.49416666666666675,15.963955555555554
0.30000000000000004,18,0.324393420137644,10.719545351080246,0.5141666666666668,10.20537868441358
0.30000000000000004,19,0.3387802470565494,27.658464506172837,0.5655555555555556,27.092908950617282
0.30000000000000004,20,0.31110782275903875,11.478421585648148,0.4622222222222223,11.016199363425926
0.30000000000000004,21,0.36992115942631026,9.311990740740741,0.24000000000000002,9.071990740740741
0.30000000000000004,22,0.3346299081675233,10.700893441358025,0.43638888888888894,10.264504552469136
0.30000000000000004,23,0.31164542066319656,14.668300443672841,0.7733333333333334,13.894967110339508
0.30000000000000004,24,0.3000359697837306,14.610223765432098,0.5655555555555556,14.044668209876543
0.30000000000000004,25,0.34087093687560777,8.465653935185186,0.3475,8.118153935185186
0.30000000000000004,26,0.330328614477003,11.705825617283951,0.33888888888888885,11.366936728395062
0.30000000000000004,27,0.3468752395563631,8.163742283950615,0.2697222222222222,7.894020061728393
0.30000000000000004,28,0.37042508172080385,13.146431712962961,0.7733333333333335,12.373098379629628
0.30000000000000004,29,0.33676136936258333,10.216467515432099,0.6455555555555557,9.570911959876543
0.35000000000000003,0,0.3415237853770149,4.6355304783950615,0.6097222222222223,4.025808256172839
0.35000000000000003,1,0.3690048966166397,10.699409239969137,0.31222222222222223,10.387187017746914
